movie,release_date,production_budget,domestic_gross,worldwide_gross
itâs complicated,2009-12-25,85000000,112735375,224614744
enemy of the state,1998-11-20,85000000,111549836,250649836
open season,2006-09-29,85000000,85105259,191932158
tower heist,2011-11-04,85000000,78046570,150422946
102 dalmatians,2000-11-22,85000000,66941559,66941559
mirror mirror,2012-03-30,85000000,64935167,173613482
the holiday,2006-12-08,85000000,63280000,205190324
the fast and the furious: tokyo drift,2006-06-16,85000000,62615510,157794205
memoirs of a geisha,2005-12-09,85000000,57010853,161510853
enemy at the gates,2001-03-16,85000000,51396781,96971293
last action hero,1993-06-18,85000000,50016394,137298489
the rundown,2003-09-26,85000000,47641743,80831893
arthur christmas,2011-11-23,85000000,46462469,149717124
